seed,wall_thickness_um,scale_window,n_loops,n_points_per_loop,grid_n,grid_extent_um,n_scales,scale_min_um,scale_max_um,elapsed_s,min,mean,negative_fraction,contrast_abs_min_to_abs_mean,min_x_um,min_section_um,min_radius_from_sphere_um,source_role_area_fraction,source_role_mag_fraction,source_role_enrichment,near_shell_area_fraction,near_shell_mag_fraction,near_shell_enrichment,mid_gap_mag_fraction,wall_band_mag_fraction,boundary_mag_fraction,far_mag_fraction,readout_mag_fraction,central_axis_mag_fraction,top_decile_near_shell_fraction,top_decile_source_role_fraction,top_decile_boundary_fraction,top_decile_far_fraction,top_decile_count,peak_radial_bin_mid_um
1,0.2,broad_0p25_5p00,128,200,41,2.5,20,0.25,5.0,27.731983587844297,-0.5125016953723613,-0.06241457143437211,1.0,8.21125073191039,0.125,-1.125,1.1319231422671772,0.726948245092207,0.9208880813291936,4.3722643754060275,0.15942891136228435,0.5006191382527846,5.285461596880568,0.3069587457831794,0.056649200467220266,0.01019696992882768,0.01297921186677939,0.019676816962154745,0.060079954812511396,0.727810650887574,1.0,0.0,0.0,169,1.125
7,0.2,broad_0p25_5p00,128,200,41,2.5,20,0.25,5.0,26.297920476878062,-0.46394874714099366,-0.06073211112537475,1.0,7.639265926113166,-0.125,-1.125,1.1319231422671772,0.726948245092207,0.9260325973456488,4.7024846369440105,0.15942891136228435,0.49061501691432763,5.078109569347657,0.3135794023614026,0.05598336445205544,0.010109736304804436,0.012628443597510277,0.018873536502498012,0.05772802998356264,0.7041420118343196,1.0,0.0,0.0,169,1.125
17,0.2,broad_0p25_5p00,128,200,41,2.5,20,0.25,5.0,25.356632760958746,-0.4318915746123167,-0.056912953804150394,1.0,7.58863397072216,-0.125,-1.0,1.0077822185373186,0.726948245092207,0.9206407214649653,4.357465419195153,0.15942891136228435,0.5129247529176866,5.552198267122222,0.30006090630841153,0.05177935646826016,0.009236684325003925,0.011765516573359837,0.021477238448996478,0.0655807768257764,0.7514792899408284,1.0,0.0,0.0,169,1.125
1,0.4,broad_0p25_5p00,128,200,41,2.5,20,0.25,5.0,26.18331631505862,-0.615142049841481,-0.0724494194602058,1.0,8.490641532046496,-0.25,1.0,1.0307764064044151,0.726948245092207,0.9228223335983657,4.491257271434665,0.15942891136228435,0.5425360813860249,6.252866381513857,0.2808201435478125,0.048804209953264,0.027324825906116706,0.0027291891675991966,0.019836482830225276,0.06070211880677986,0.7633136094674556,0.9940828402366864,0.0,0.0,169,1.125
7,0.4,broad_0p25_5p00,128,200,41,2.5,20,0.25,5.0,26.50825465610251,-0.58477923238054,-0.07072237924989518,1.0,8.268658924981045,0.0,-1.0,1.0,0.726948245092207,0.9268406793397241,4.758574822472566,0.15942891136228435,0.5330185587052299,6.017970814268045,0.2866782297466525,0.048256412940613586,0.027010220004856027,0.00269460347109021,0.019513652562214615,0.05952197440458788,0.7692307692307693,1.0,0.0,0.0,169,1.125
17,0.4,broad_0p25_5p00,128,200,41,2.5,20,0.25,5.0,23.825456973863766,-0.5593215604015199,-0.06650524225777907,1.0,8.410187549329564,0.0,-1.125,1.125,0.726948245092207,0.9220162539664931,4.440950819138893,0.15942891136228435,0.5554768957911648,6.588385901834925,0.27267475423956383,0.044314444088706856,0.024641392102356382,0.002455266715499319,0.022218617079352264,0.06747455854727388,0.7869822485207101,1.0,0.0,0.0,169,1.125
1,0.2,low_0p25_0p75,128,200,41,2.5,8,0.25,0.75,9.834959836909547,-0.024691358024691357,-4.4065481305219556e-05,0.001784651992861392,560.3333333333333,-0.125,-1.125,1.1319231422671772,0.726948245092207,1.0,60617081.89367764,0.15942891136228435,1.0,276395798.7838585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,1.125
7,0.2,low_0p25_0p75,128,200,41,2.5,8,0.25,0.75,9.610870282864198,0.0,0.0,0.0,0.0,-2.5,-2.5,3.5355339059327378,0.726948245092207,0.0,0.0,0.15942891136228435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
17,0.2,low_0p25_0p75,128,200,41,2.5,8,0.25,0.75,9.448719809995964,0.0,0.0,0.0,0.0,-2.5,-2.5,3.5355339059327378,0.726948245092207,0.0,0.0,0.15942891136228435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
1,0.4,low_0p25_0p75,128,200,41,2.5,8,0.25,0.75,8.894492386141792,-0.024691358024691357,-0.00010281945637884562,0.004164187983343248,240.14285714285714,-0.125,-1.125,1.1319231422671772,0.726948245092207,1.0,141439857.7519145,0.15942891136228435,1.0,644923530.4956698,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7,1.125
7,0.4,low_0p25_0p75,128,200,41,2.5,8,0.25,0.75,9.094717958942056,-0.024691358024691357,-4.4065481305219556e-05,0.001784651992861392,560.3333333333333,-0.5,-1.125,1.231107225224513,0.726948245092207,1.0,60617081.89367764,0.15942891136228435,1.0,276395798.7838585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,1.125
17,0.4,low_0p25_0p75,128,200,41,2.5,8,0.25,0.75,9.173240404110402,-0.06153883464012555,-0.000381675305055782,0.01189767995240928,161.2334720768262,0.0,1.125,1.125,0.726948245092207,1.0,525037796.8893369,0.15942891136228435,0.8845472035483685,40.39465701625161,0.11545279645163148,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,1.125
1,0.2,mid_0p75_1p50,128,200,41,2.5,8,0.75,1.5,10.312045094091445,-0.6630929394171842,-0.02833705784357829,0.364069006543724,23.400204180599275,0.125,-1.125,1.1319231422671772,0.726948245092207,0.9950914250040184,76.14633982547124,0.15942891136228435,0.6361270394029691,9.21725154157784,0.34903265286821045,0.00450819840160942,0.0003686825330144137,0.0,0.0005831429494435714,0.0016846351872814285,0.7580645161290323,1.0,0.0,0.0,62,1.125
7,0.2,mid_0p75_1p50,128,200,41,2.5,8,0.75,1.5,10.236770471092314,-0.5833022971140291,-0.02542170348809331,0.34741225461035097,22.94505155357621,0.125,1.125,1.1319231422671772,0.726948245092207,0.9971140889374356,129.77869101443767,0.15942891136228435,0.6316118927408402,9.039659359333086,0.35722049723602123,0.001302574147378113,0.0,0.0,0.0,0.0006861297221152892,0.7288135593220338,1.0,0.0,0.0,59,1.125
17,0.2,mid_0p75_1p50,128,200,41,2.5,8,0.75,1.5,9.76228568609804,-0.47652694749070335,-0.023748481770078246,0.3277810826888757,20.065575227259394,0.0,-1.125,1.125,0.726948245092207,0.9962492316335827,99.76753327153175,0.15942891136228435,0.647262463030477,9.674668907918692,0.339001906355954,0.005769307670163822,0.00034926650084525284,0.0,0.0,0.0,0.8214285714285714,1.0,0.0,0.0,56,1.125
1,0.4,mid_0p75_1p50,128,200,41,2.5,8,0.75,1.5,9.366222274955362,-0.9044895158682837,-0.04143000113822199,0.3771564544913742,21.83175213658951,0.125,-1.125,1.1319231422671772,0.726948245092207,0.9925323006363164,49.92284226392515,0.15942891136228435,0.715601281017399,13.266331378145374,0.27000063744628533,0.003083492043616579,0.00090868832170057,0.0,0.0009055304160544781,0.002642469599312784,0.859375,1.0,0.0,0.0,64,1.125
7,0.4,mid_0p75_1p50,128,200,41,2.5,8,0.75,1.5,10.431696119019762,-0.8290396121372491,-0.03788598304221968,0.3801308744794765,21.88248913096375,0.125,1.125,1.1319231422671772,0.726948245092207,0.9948391350863401,72.4055487583501,0.15942891136228435,0.7134225571645697,13.125389544620317,0.27512636402727303,0.0008740344340280388,4.846282381018674e-05,0.0,0.0007511737690578945,0.0024040205949382755,0.890625,1.0,0.0,0.0,64,1.125
17,0.4,mid_0p75_1p50,128,200,41,2.5,8,0.75,1.5,9.800382460933179,-0.7186050273507306,-0.035120071336521605,0.36466389054134446,20.461377212621098,0.0,-1.125,1.125,0.726948245092207,0.9933145080734019,55.80779834470008,0.15942891136228435,0.7242892685532504,13.850509449711534,0.26207622818834153,0.003901253409140376,0.0011674894916040102,0.0,0.0,0.0007580535557611889,0.8870967741935484,1.0,0.0,0.0,62,1.125
1,0.2,upper_1p50_2p75,128,200,41,2.5,8,1.5,2.75,10.906974670942873,-0.3789285061101701,-0.0532595149059761,0.9095776323616894,7.114756992795133,-0.125,-1.0,1.0077822185373186,0.726948245092207,0.9349473602591547,5.398383271237247,0.15942891136228435,0.5374275635274477,6.1255847635545715,0.3155965563519467,0.041264157052516334,0.006604003522660173,0.004712430249668501,0.01599915946121534,0.050172173116614434,0.7843137254901961,1.0,0.0,0.0,153,1.125
7,0.2,upper_1p50_2p75,128,200,41,2.5,8,1.5,2.75,10.466702305013314,-0.3700605934104142,-0.05249151610745982,0.9309934562760261,7.049912459240687,-0.125,-1.0,1.0077822185373186,0.726948245092207,0.9455227592619195,6.519260934852846,0.15942891136228435,0.5289332390784534,5.920055341287219,0.32632529280312833,0.037464462420991385,0.005900964564337057,0.002958002527920243,0.01429756875510183,0.04586182517995816,0.7707006369426752,1.0,0.0,0.0,157,1.125
17,0.2,upper_1p50_2p75,128,200,41,2.5,8,1.5,2.75,10.252149594947696,-0.33072939240407967,-0.04884329344506678,0.9161213563355146,6.771234474105342,-0.125,-1.0,1.0077822185373186,0.726948245092207,0.9327543066607837,5.210078499420179,0.15942891136228435,0.5533088164812608,6.53081794532661,0.3057682795759157,0.03564667347968472,0.005738223520613013,0.0043255489114764865,0.0184348451902553,0.05665469421863265,0.8181818181818182,1.0,0.0,0.0,154,1.125
1,0.4,upper_1p50_2p75,128,200,41,2.5,8,1.5,2.75,9.985121289966628,-0.4185914102710374,-0.06112414155061032,0.9095776323616894,6.848217408901308,0.0,1.0,1.0,0.726948245092207,0.9289436503140519,4.9105253460788845,0.15942891136228435,0.5631651616451749,6.79713478229062,0.2917386848018623,0.0359548442214333,0.01871331258533297,0.000711944082244829,0.018600577736240274,0.0579229036574061,0.8562091503267973,0.9934640522875817,0.0,0.0,153,0.875
7,0.4,upper_1p50_2p75,128,200,41,2.5,8,1.5,2.75,11.252027835929766,-0.4222304799015328,-0.060835365478102796,0.9315883402736467,6.94054316240627,-0.125,-1.0,1.0077822185373186,0.726948245092207,0.9384991947291197,5.7318468991021145,0.15942891136228435,0.5578741347876439,6.652695891605287,0.2993933588429543,0.03235141943350815,0.016568514283883732,0.0003447573196946957,0.017948203081647924,0.05619895185014037,0.8471337579617835,1.0,0.0,0.0,157,1.125
17,0.4,upper_1p50_2p75,128,200,41,2.5,8,1.5,2.75,10.677194457035512,-0.38139842052329664,-0.05654946652985447,0.9161213563355146,6.744509611278877,-0.125,-1.0,1.0077822185373186,0.726948245092207,0.9264893908694052,4.734039843500612,0.15942891136228435,0.5805808563561801,7.298301999641437,0.28008554822252435,0.03078898953342966,0.016041094865179767,0.0006690454298075235,0.02069478991885631,0.0656979092192428,0.8636363636363636,0.987012987012987,0.0,0.0,154,0.875
